Date,Temp
6/17/2017,59.873
6/17/2017,59.788
6/17/2017,59.702
6/17/2017,59.616
6/17/2017,59.486
6/17/2017,59.358
6/17/2017,59.229
6/17/2017,59.142
6/17/2017,59.014
6/17/2017,58.842
6/17/2017,58.712
6/17/2017,58.541
6/17/2017,58.368
6/17/2017,58.152
6/17/2017,57.979
6/17/2017,57.807
6/17/2017,57.679
6/17/2017,57.549
6/17/2017,57.42
6/17/2017,57.29
6/17/2017,57.16
6/18/2017,57.031
6/18/2017,56.858
6/18/2017,56.685
6/18/2017,56.469
6/18/2017,56.295
6/18/2017,56.079
6/18/2017,55.863
6/18/2017,55.647
6/18/2017,55.429
6/18/2017,55.213
6/18/2017,55.038
6/18/2017,54.865
6/18/2017,54.691
6/18/2017,54.516
6/18/2017,54.343
6/18/2017,54.169
6/18/2017,53.994
6/18/2017,53.865
6/18/2017,53.733
6/18/2017,53.559
6/18/2017,53.427
6/18/2017,53.298
6/18/2017,53.166
6/18/2017,53.035
6/18/2017,52.903
6/18/2017,52.772
6/18/2017,52.641
6/18/2017,52.554
6/18/2017,52.466
6/18/2017,52.378
6/18/2017,52.335
6/18/2017,52.335
6/18/2017,52.335
6/18/2017,52.378
6/18/2017,52.423
6/18/2017,52.509
6/18/2017,52.641
6/18/2017,52.772
6/18/2017,52.947
6/18/2017,53.121
6/18/2017,53.341
6/18/2017,53.559
6/18/2017,53.776
6/18/2017,54.037
6/18/2017,54.343
6/18/2017,54.648
6/18/2017,54.952
6/18/2017,55.299
6/18/2017,55.733
6/18/2017,56.122
6/18/2017,56.34
6/18/2017,56.556
6/18/2017,57.117
6/18/2017,57.549
6/18/2017,57.85
6/18/2017,58.282
6/18/2017,58.798
6/18/2017,59.014
6/18/2017,59.185
6/18/2017,59.315
6/18/2017,59.358
6/18/2017,59.486
6/18/2017,59.745
6/18/2017,60.174
6/18/2017,60.39
6/18/2017,60.647
6/18/2017,60.948
6/18/2017,61.162
6/18/2017,61.333
6/18/2017,61.462
6/18/2017,61.59
6/18/2017,61.677
6/18/2017,61.72
6/18/2017,61.804
6/18/2017,61.804
6/18/2017,61.72
6/18/2017,61.633
6/18/2017,61.59
6/18/2017,61.506
6/18/2017,61.419
6/18/2017,61.29
6/18/2017,61.162
6/18/2017,60.991
6/18/2017,60.861
6/18/2017,60.733
6/18/2017,60.517
6/18/2017,60.26
6/18/2017,60.046
6/18/2017,59.788
6/18/2017,59.572
6/18/2017,59.358
6/18/2017,59.185
6/18/2017,59.014
6/18/2017,58.842
6/18/2017,58.669
6/18/2017,58.498
6/19/2017,58.282
6/19/2017,58.109
6/19/2017,57.936
6/19/2017,57.765
6/19/2017,57.592
6/19/2017,57.42
6/19/2017,57.29
6/19/2017,57.117
6/19/2017,56.944
6/19/2017,56.815
6/19/2017,56.642
6/19/2017,56.512
6/19/2017,56.383
6/19/2017,56.251
6/19/2017,56.165
6/19/2017,56.079
6/19/2017,55.949
6/19/2017,55.863
6/19/2017,55.776
6/19/2017,55.69
6/19/2017,55.602
6/19/2017,55.515
6/19/2017,55.472
6/19/2017,55.386
6/19/2017,55.342
6/19/2017,55.256
6/19/2017,55.213
6/19/2017,55.168
6/19/2017,55.125
6/19/2017,55.081
6/19/2017,55.038
6/19/2017,55.038
6/19/2017,55.038
6/19/2017,55.081
6/19/2017,55.168
6/19/2017,55.299
6/19/2017,55.342
6/19/2017,55.472
6/19/2017,55.647
6/19/2017,55.819
6/19/2017,56.035
6/19/2017,56.208
6/19/2017,56.426
6/19/2017,56.642
6/19/2017,56.858
6/19/2017,57.16
6/19/2017,57.463
6/19/2017,57.807
6/19/2017,58.152
6/19/2017,58.498
6/19/2017,58.842
6/19/2017,59.229
6/19/2017,59.616
6/19/2017,60.046
6/19/2017,60.517
6/19/2017,60.904
6/19/2017,61.376
6/19/2017,61.761
6/19/2017,62.148
6/19/2017,62.49
6/19/2017,62.791
6/19/2017,63.133
6/19/2017,63.39
6/19/2017,63.732
6/19/2017,63.946
6/19/2017,64.074
6/19/2017,64.247
6/19/2017,64.459
6/19/2017,64.589
6/19/2017,64.632
6/19/2017,64.717
6/19/2017,64.717
6/19/2017,64.717
6/19/2017,64.717
6/19/2017,64.674
6/19/2017,64.589
6/19/2017,64.503
6/19/2017,64.375
6/19/2017,64.247
6/19/2017,64.074
6/19/2017,63.903
6/19/2017,63.775
6/19/2017,63.604
6/19/2017,63.39
6/19/2017,63.133
6/19/2017,62.919
6/19/2017,62.661
6/19/2017,62.362
6/19/2017,62.062
6/19/2017,61.761
6/19/2017,61.462
6/19/2017,61.162
6/19/2017,60.904
6/19/2017,60.647
6/19/2017,60.39
6/19/2017,60.132
6/20/2017,59.873
6/20/2017,59.616
6/20/2017,59.358
6/20/2017,59.099
6/20/2017,58.885
6/20/2017,58.626
6/20/2017,58.368
6/20/2017,58.152
6/20/2017,57.893
6/20/2017,57.679
6/20/2017,57.463
6/20/2017,57.29
6/20/2017,57.074
6/20/2017,56.901
6/20/2017,56.728
6/20/2017,56.556
6/20/2017,56.383
6/20/2017,56.208
6/20/2017,56.079
